Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1855,0,0,0,0,0,0,0,0,0,0,0,0
1856,0,0,0,0,0,0,0,0,0,0,0,0
1857,0,0,0,0,0,0,1,1,1,1,1,1
1858,1,1,1,1,1,1,1,1,1,1,1,1
1859,0,0,0,0,0,0,0,0,0,0,0,0
1860,0,0,0,0,0,0,0,0,0,0,1,1
1861,1,1,1,1,1,1,0,0,0,0,0,0
1862,0,0,0,0,0,0,0,0,0,0,0,0
1863,0,0,0,0,0,0,0,0,0,0,0,0
1864,0,0,0,0,0,0,0,0,0,0,0,0
1865,0,0,0,0,1,1,1,1,1,1,1,1
1866,1,1,1,1,1,1,1,1,1,1,1,1
1867,1,1,1,1,1,1,1,1,1,1,1,1
1868,0,0,0,0,0,0,0,0,0,0,0,0
1869,0,0,0,0,0,0,1,1,1,1,1,1
1870,1,1,1,1,1,1,1,1,1,1,1,1
1871,0,0,0,0,0,0,0,0,0,0,0,0
1872,0,0,0,0,0,0,0,0,0,0,0,0
1873,0,0,0,0,0,0,0,0,0,0,1,1
1874,1,1,1,1,1,1,1,1,1,1,1,1
1875,1,1,1,1,1,1,1,1,1,1,1,1
1876,1,1,1,1,1,1,1,1,1,1,1,1
1877,1,1,1,1,1,1,1,1,1,1,1,1
1878,1,1,1,1,1,1,1,1,1,1,1,1
1879,1,1,1,0,0,0,0,0,0,0,0,0
1880,0,0,0,0,0,0,0,0,0,0,0,0
1881,0,0,0,0,0,0,0,0,0,0,0,0
1882,0,0,0,1,1,1,1,1,1,1,1,1
1883,1,1,1,1,1,1,1,1,1,1,1,1
1884,1,1,1,1,1,1,1,1,1,1,1,1
1885,1,1,1,1,1,0,0,0,0,0,0,0
1886,0,0,0,0,0,0,0,0,0,0,0,0
1887,0,0,0,1,1,1,1,1,1,1,1,1
1888,1,1,1,1,0,0,0,0,0,0,0,0
1889,0,0,0,0,0,0,0,0,0,0,0,0
1890,0,0,0,0,0,0,0,1,1,1,1,1
1891,1,1,1,1,1,0,0,0,0,0,0,0
1892,0,0,0,0,0,0,0,0,0,0,0,0
1893,0,1,1,1,1,1,1,1,1,1,1,1
1894,1,1,1,1,1,1,0,0,0,0,0,0
1895,0,0,0,0,0,0,0,0,0,0,0,0
1896,1,1,1,1,1,1,1,1,1,1,1,1
