DATE,UR,LRP,EPR
1/1/48,3.4,58.6,56.6
2/1/48,3.8,58.9,56.7
3/1/48,4,58.5,56.1
4/1/48,3.9,59,56.7
5/1/48,3.5,58.3,56.2
6/1/48,3.6,59.2,57
7/1/48,3.6,59.3,57.1
8/1/48,3.9,58.9,56.6
9/1/48,3.8,58.9,56.6
10/1/48,3.7,58.7,56.5
11/1/48,3.8,58.7,56.5
12/1/48,4,59.1,56.8
1/1/49,4.3,58.7,56.2
2/1/49,4.7,59,56.2
3/1/49,5,58.9,56
4/1/49,5.3,58.8,55.7
5/1/49,6.1,59,55.4
6/1/49,6.2,58.6,55
7/1/49,6.7,58.9,55
8/1/49,6.8,59.2,55.1
9/1/49,6.6,59.1,55.3
10/1/49,7.9,59.6,54.9
11/1/49,6.4,59.4,55.6
12/1/49,6.6,59.2,55.3
1/1/50,6.5,58.9,55.1
2/1/50,6.4,58.9,55.1
3/1/50,6.3,58.8,55.1
4/1/50,5.8,59.2,55.8
5/1/50,5.5,59.1,55.8
6/1/50,5.4,59.4,56.2
7/1/50,5,59.1,56.1
8/1/50,4.5,59.5,56.8
9/1/50,4.4,59.2,56.6
10/1/50,4.2,59.4,56.9
11/1/50,4.2,59.3,56.9
12/1/50,4.3,59.2,56.7
1/1/51,3.7,59.1,56.9
2/1/51,3.4,59.1,57
3/1/51,3.4,59.8,57.7
4/1/51,3.1,59.1,57.3
5/1/51,3,59.4,57.6
6/1/51,3.2,59,57.1
7/1/51,3.1,59.4,57.6
8/1/51,3.1,59.2,57.4
9/1/51,3.3,59.1,57.1
10/1/51,3.5,59.4,57.3
11/1/51,3.5,59.2,57.1
12/1/51,3.1,59.6,57.7
1/1/52,3.2,59.5,57.7
2/1/52,3.1,59.5,57.7
3/1/52,2.9,58.9,57.1
4/1/52,2.9,58.8,57.1
5/1/52,3,59.1,57.3
6/1/52,3,59.1,57.3
7/1/52,3.2,58.9,57
8/1/52,3.4,58.7,56.8
9/1/52,3.1,59.2,57.4
10/1/52,3,58.7,56.9
11/1/52,2.8,59.1,57.5
12/1/52,2.7,59.2,57.6
1/1/53,2.9,59.5,57.8
2/1/53,2.6,59.5,58
3/1/53,2.6,59.6,58.1
4/1/53,2.7,59.1,57.5
5/1/53,2.5,58.6,57.1
6/1/53,2.5,58.9,57.4
7/1/53,2.6,58.9,57.4
8/1/53,2.7,58.6,57.1
9/1/53,2.9,58.5,56.8
10/1/53,3.1,58.5,56.7
11/1/53,3.5,58.6,56.5
12/1/53,4.5,58.3,55.7
1/1/54,4.9,58.6,55.7
2/1/54,5.2,59.3,56.2
3/1/54,5.7,59.1,55.7
4/1/54,5.9,59.2,55.7
5/1/54,5.9,58.9,55.4
6/1/54,5.6,58.5,55.2
7/1/54,5.8,58.4,55
8/1/54,6,58.7,55.2
9/1/54,6.1,59.2,55.5
10/1/54,5.7,58.8,55.5
11/1/54,5.3,58.6,55.5
12/1/54,5,58.1,55.2
1/1/55,4.9,58.6,55.7
2/1/55,4.7,58.4,55.7
3/1/55,4.6,58.5,55.8
4/1/55,4.7,59,56.2
5/1/55,4.3,58.8,56.3
6/1/55,4.2,58.8,56.3
7/1/55,4,59.3,56.9
8/1/55,4.2,59.7,57.1
9/1/55,4.1,59.7,57.2
10/1/55,4.3,59.8,57.2
11/1/55,4.2,59.9,57.4
12/1/55,4.2,60.2,57.7
1/1/56,4,60.2,57.8
2/1/56,3.9,59.9,57.5
3/1/56,4.2,59.8,57.3
4/1/56,4,59.9,57.5
5/1/56,4.3,60.2,57.6
6/1/56,4.3,60.1,57.5
7/1/56,4.4,60.1,57.5
8/1/56,4.1,60,57.6
9/1/56,3.9,60,57.6
10/1/56,3.9,59.8,57.5
11/1/56,4.3,59.8,57.3
12/1/56,4.2,59.8,57.3
1/1/57,4.2,59.5,57
2/1/57,3.9,59.9,57.5
3/1/57,3.7,59.8,57.6
4/1/57,3.9,59.5,57.2
5/1/57,4.1,59.5,57.1
6/1/57,4.3,59.8,57.2
7/1/57,4.2,60,57.5
8/1/57,4.1,59.3,56.9
9/1/57,4.4,59.6,57
10/1/57,4.5,59.5,56.8
11/1/57,5.1,59.5,56.4
12/1/57,5.2,59.6,56.6
1/1/58,5.8,59.3,55.9
2/1/58,6.4,59.3,55.5
3/1/58,6.7,59.3,55.3
4/1/58,7.4,59.6,55.2
5/1/58,7.4,59.8,55.4
6/1/58,7.3,59.5,55.2
7/1/58,7.5,59.6,55.2
8/1/58,7.4,59.8,55.4
9/1/58,7.1,59.7,55.4
10/1/58,6.7,59.6,55.6
11/1/58,6.2,59.2,55.5
12/1/58,6.2,59.2,55.5
1/1/59,6,59.3,55.7
2/1/59,5.9,59,55.5
3/1/59,5.6,59.3,56
4/1/59,5.2,59.4,56.3
5/1/59,5.1,59.2,56.2
6/1/59,5,59.2,56.3
7/1/59,5.1,59.4,56.3
8/1/59,5.2,59.2,56.1
9/1/59,5.5,59.3,56
10/1/59,5.7,59.4,56.1
11/1/59,5.8,59.1,55.7
12/1/59,5.3,59.5,56.3
1/1/60,5.2,59.1,56
2/1/60,4.8,59.1,56.2
3/1/60,5.4,58.5,55.4
4/1/60,5.2,59.5,56.4
5/1/60,5.1,59.5,56.4
6/1/60,5.4,59.7,56.5
7/1/60,5.5,59.5,56.2
8/1/60,5.6,59.5,56.1
9/1/60,5.5,59.7,56.4
10/1/60,6.1,59.4,55.8
11/1/60,6.1,59.8,56.1
12/1/60,6.6,59.7,55.7
1/1/61,6.6,59.6,55.7
2/1/61,6.9,59.6,55.5
3/1/61,6.9,59.7,55.6
4/1/61,7,59.3,55.2
5/1/61,7.1,59.4,55.2
6/1/61,6.9,59.7,55.6
7/1/61,7,59.3,55.2
8/1/61,6.6,59.3,55.3
9/1/61,6.7,59,55
10/1/61,6.5,59.1,55.3
11/1/61,6.1,59.1,55.5
12/1/61,6,58.8,55.3
1/1/62,5.8,58.8,55.4
2/1/62,5.5,59,55.7
3/1/62,5.6,58.9,55.7
4/1/62,5.6,58.7,55.4
5/1/62,5.5,58.9,55.7
6/1/62,5.5,58.8,55.6
7/1/62,5.4,58.5,55.3
8/1/62,5.7,59,55.7
9/1/62,5.6,59,55.7
10/1/62,5.4,58.7,55.5
11/1/62,5.7,58.5,55.2
12/1/62,5.5,58.4,55.2
1/1/63,5.7,58.6,55.2
2/1/63,5.9,58.6,55.1
3/1/63,5.7,58.6,55.3
4/1/63,5.7,58.8,55.5
5/1/63,5.9,58.8,55.3
6/1/63,5.6,58.5,55.3
7/1/63,5.6,58.7,55.4
8/1/63,5.4,58.5,55.4
9/1/63,5.5,58.7,55.5
10/1/63,5.5,58.8,55.5
11/1/63,5.7,58.8,55.4
12/1/63,5.5,58.5,55.3
1/1/64,5.6,58.6,55.3
2/1/64,5.4,58.8,55.6
3/1/64,5.4,58.7,55.5
4/1/64,5.3,59.1,55.9
5/1/64,5.1,59.1,56.1
6/1/64,5.2,58.7,55.6
7/1/64,4.9,58.6,55.7
8/1/64,5,58.6,55.7
9/1/64,5.1,58.7,55.7
10/1/64,5.1,58.6,55.6
11/1/64,4.8,58.5,55.7
12/1/64,5,58.6,55.6
1/1/65,4.9,58.6,55.7
2/1/65,5.1,58.7,55.7
3/1/65,4.7,58.7,55.9
4/1/65,4.8,58.8,56
5/1/65,4.6,59,56.2
6/1/65,4.6,58.8,56.1
7/1/65,4.4,59.1,56.5
8/1/65,4.4,58.9,56.3
9/1/65,4.3,58.7,56.2
10/1/65,4.2,58.9,56.4
11/1/65,4.1,58.8,56.4
12/1/65,4,59,56.6
1/1/66,4,59,56.7
2/1/66,3.8,58.8,56.6
3/1/66,3.8,58.8,56.6
4/1/66,3.8,59,56.8
5/1/66,3.9,59,56.7
6/1/66,3.8,59.1,56.9
7/1/66,3.8,59.1,56.9
8/1/66,3.8,59.3,57
9/1/66,3.7,59.3,57.1
10/1/66,3.7,59.3,57.1
11/1/66,3.6,59.6,57.4
12/1/66,3.8,59.5,57.3
1/1/67,3.9,59.5,57.1
2/1/67,3.8,59.3,57
3/1/67,3.8,59.1,56.8
4/1/67,3.8,59.4,57.1
5/1/67,3.8,59.3,57
6/1/67,3.9,59.6,57.3
7/1/67,3.8,59.6,57.4
