DATE,EPR,MEPR,WEPR
1/1/48,56.6,83.8,30.9
2/1/48,56.7,83.9,31
3/1/48,56.1,83,30.7
4/1/48,56.7,83.3,31.6
5/1/48,56.2,83.1,30.9
6/1/48,57,83.7,31.9
7/1/48,57.1,83.8,32
8/1/48,56.6,83.5,31.3
9/1/48,56.6,83.2,31.7
10/1/48,56.5,83.5,31.1
11/1/48,56.5,83.3,31.3
12/1/48,56.8,83.5,31.6
1/1/49,56.2,82.8,31.2
2/1/49,56.2,82.6,31.5
3/1/49,56,82.1,31.5
4/1/49,55.7,82,31
5/1/49,55.4,81.3,31.1
6/1/49,55,80.9,30.7
7/1/49,55,80.4,31.1
8/1/49,55.1,80.7,31.2
9/1/49,55.3,81,31.1
10/1/49,54.9,80,31.3
11/1/49,55.6,81.2,31.6
12/1/49,55.3,81,31.3
1/1/50,55.1,80.7,31.1
2/1/50,55.1,80.7,31.1
3/1/50,55.1,80.7,31
4/1/50,55.8,81.1,32.1
5/1/50,55.8,81.6,31.6
6/1/50,56.2,81.8,32.1
7/1/50,56.1,82,31.8
8/1/50,56.8,82.8,32.5
9/1/50,56.6,82.9,32
10/1/50,56.9,83,32.6
11/1/50,56.9,83.1,32.6
12/1/50,56.7,83,32.4
1/1/51,56.9,83.1,32.7
2/1/51,57,83.7,32.6
3/1/51,57.7,84.5,33.3
4/1/51,57.3,84.1,32.9
5/1/51,57.6,84.5,33.2
6/1/51,57.1,84,32.7
7/1/51,57.6,83.9,33.8
8/1/51,57.4,84.1,33.3
9/1/51,57.1,84,32.9
10/1/51,57.3,84.1,33.2
11/1/51,57.1,83.8,33.1
12/1/51,57.7,84.5,33.6
1/1/52,57.7,84.4,33.7
2/1/52,57.7,84.5,33.5
3/1/52,57.1,84.2,32.9
4/1/52,57.1,84,33.1
5/1/52,57.3,84.2,33.3
6/1/52,57.3,84,33.4
7/1/52,57,83.7,33.1
8/1/52,56.8,83.2,33.1
9/1/52,57.4,83.3,34.2
10/1/52,56.9,83.4,33.3
11/1/52,57.5,83.5,34.2
12/1/52,57.6,84.3,33.8
1/1/53,57.8,84.1,34.1
2/1/53,58,84.7,33.9
3/1/53,58.1,84.7,34.1
4/1/53,57.5,84,33.6
5/1/53,57.1,83.7,33.1
6/1/53,57.4,83.8,33.7
7/1/53,57.4,83.8,33.6
8/1/53,57.1,83.6,33.2
9/1/53,56.8,83.1,33.1
10/1/53,56.7,82.9,33.1
11/1/53,56.5,83,32.6
12/1/53,55.7,82.2,31.9
1/1/54,55.7,82,31.9
2/1/54,56.2,82,33
3/1/54,55.7,81,32.9
4/1/54,55.7,81.1,32.7
5/1/54,55.4,80.8,32.4
6/1/54,55.2,80.7,32.2
7/1/54,55,80.6,31.9
8/1/54,55.2,80.8,32.1
9/1/54,55.5,80.9,32.7
10/1/54,55.5,80.6,32.8
11/1/54,55.5,80.7,32.7
12/1/54,55.2,80.6,32.3
1/1/55,55.7,81,32.9
2/1/55,55.7,81,32.8
3/1/55,55.8,81.2,32.8
4/1/55,56.2,81.2,33.6
5/1/55,56.3,81.6,33.3
6/1/55,56.3,81.5,33.5
7/1/55,56.9,82.1,34.2
8/1/55,57.1,82,34.6
9/1/55,57.2,82.4,34.4
10/1/55,57.2,82.3,34.5
11/1/55,57.4,82.5,34.7
12/1/55,57.7,82.7,35.2
1/1/56,57.8,82.9,35
2/1/56,57.5,82.6,34.8
3/1/56,57.3,82.5,34.5
4/1/56,57.5,82.5,34.9
5/1/56,57.6,82.4,35.2
6/1/56,57.5,82.3,35.1
7/1/56,57.5,82.2,35
8/1/56,57.6,82.3,35.2
9/1/56,57.6,82.1,35.4
10/1/56,57.5,82,35.2
11/1/56,57.3,81.7,35.1
12/1/56,57.3,81.7,35.2
1/1/57,57,81.5,34.9
2/1/57,57.5,81.9,35.4
3/1/57,57.6,82.2,35.4
4/1/57,57.2,81.8,35
5/1/57,57.1,81.7,34.9
6/1/57,57.2,81.8,35
7/1/57,57.5,81.8,35.4
8/1/57,56.9,81.2,34.9
9/1/57,57,81,35.2
10/1/57,56.8,80.7,35.2
11/1/57,56.4,80.1,35
12/1/57,56.6,80.1,35.3
1/1/58,55.9,79.3,34.7
2/1/58,55.5,78.7,34.6
3/1/58,55.3,78.3,34.6
4/1/58,55.2,78.1,34.5
5/1/58,55.4,78.3,34.6
6/1/58,55.2,78.1,34.5
7/1/58,55.2,78.2,34.3
8/1/58,55.4,78.3,34.6
9/1/58,55.4,78.6,34.4
10/1/58,55.6,78.9,34.5
11/1/58,55.5,78.7,34.6
12/1/58,55.5,78.6,34.6
1/1/59,55.7,78.8,34.8
2/1/59,55.5,78.7,34.6
3/1/59,56,79.3,34.8
4/1/59,56.3,79.8,35
5/1/59,56.2,79.6,35
6/1/59,56.3,79.5,35.2
7/1/59,56.3,79.8,35
8/1/59,56.1,79.4,35
9/1/59,56,79.3,34.9
10/1/59,56.1,79.2,35.1
11/1/59,55.7,78.6,34.9
12/1/59,56.3,79.7,35.1
1/1/60,56,79.4,34.9
2/1/60,56.2,79.6,35.1
3/1/60,55.4,78.5,34.5
4/1/60,56.4,79.4,35.7
5/1/60,56.4,79.2,35.8
6/1/60,56.5,78.9,36.2
7/1/60,56.2,78.7,35.8
8/1/60,56.1,78.7,35.7
9/1/60,56.4,78.9,36.1
10/1/60,55.8,78.5,35.3
11/1/60,56.1,78.7,35.7
12/1/60,55.7,78.1,35.6
1/1/61,55.7,78,35.5
2/1/61,55.5,77.4,35.6
3/1/61,55.6,77.6,35.8
4/1/61,55.2,77.2,35.3
5/1/61,55.2,77.3,35.2
6/1/61,55.6,77.7,35.6
7/1/61,55.2,77.3,35.2
