DATE,LR,MLR,WLR
1/1/48,58.6,86.7,32
2/1/48,58.9,87,32.4
3/1/48,58.5,86.3,32.1
4/1/48,59,86.6,33
5/1/48,58.3,86.1,32
6/1/48,59.2,86.6,33.4
7/1/48,59.3,86.7,33.4
8/1/48,58.9,86.7,32.7
9/1/48,58.9,86.3,33
10/1/48,58.7,86.6,32.4
11/1/48,58.7,86.5,32.6
12/1/48,59.1,86.9,33
1/1/49,58.7,86.5,32.6
2/1/49,59,86.6,33
3/1/49,58.9,86.5,33
4/1/49,58.8,86.6,32.8
5/1/49,59,86.6,33.1
6/1/49,58.6,86.2,32.8
7/1/49,58.9,86.1,33.4
8/1/49,59.2,86.6,33.5
9/1/49,59.1,86.6,33.4
10/1/49,59.6,87.4,33.6
11/1/49,59.4,86.8,33.7
12/1/49,59.2,86.6,33.5
1/1/50,58.9,86.2,33.4
2/1/50,58.9,86.1,33.4
3/1/50,58.8,85.9,33.2
4/1/50,59.2,86.2,33.9
5/1/50,59.1,86.3,33.6
6/1/50,59.4,86.2,34.2
7/1/50,59.1,86.1,33.7
8/1/50,59.5,86.5,34.1
9/1/50,59.2,86.5,33.7
10/1/50,59.4,86.4,34.3
11/1/50,59.3,86.3,34.4
12/1/50,59.2,86.3,34
1/1/51,59.1,86,34.3
2/1/51,59.1,86.3,34.2
3/1/51,59.8,86.9,35
4/1/51,59.1,86.3,34.4
5/1/51,59.4,86.6,34.7
6/1/51,59,86.4,34.2
7/1/51,59.4,86.3,35.2
8/1/51,59.2,86.5,34.7
9/1/51,59.1,86.4,34.4
10/1/51,59.4,86.8,34.8
11/1/51,59.2,86.5,34.7
12/1/51,59.6,86.8,35.1
1/1/52,59.5,86.8,35
2/1/52,59.5,87,34.9
3/1/52,58.9,86.5,34.1
4/1/52,58.8,86.3,34.3
5/1/52,59.1,86.4,34.7
6/1/52,59.1,86.4,34.6
7/1/52,58.9,86.3,34.4
8/1/52,58.7,85.9,34.4
9/1/52,59.2,85.9,35.4
10/1/52,58.7,85.6,34.6
11/1/52,59.1,85.6,35.4
12/1/52,59.2,86.4,34.8
1/1/53,59.5,86.5,35.1
2/1/53,59.5,86.8,34.9
3/1/53,59.6,86.8,35.2
4/1/53,59.1,86.3,34.6
5/1/53,58.6,85.8,34
6/1/53,58.9,85.8,34.7
7/1/53,58.9,85.9,34.6
8/1/53,58.6,85.7,34.2
9/1/53,58.5,85.4,34.3
10/1/53,58.5,85.4,34.4
11/1/53,58.6,85.9,33.9
12/1/53,58.3,85.8,33.6
1/1/54,58.6,85.8,33.9
2/1/54,59.3,86.2,35
3/1/54,59.1,85.6,35.1
4/1/54,59.2,86,35
5/1/54,58.9,85.7,34.6
6/1/54,58.5,85.3,34.4
7/1/54,58.4,85.4,34.1
8/1/54,58.7,85.9,34.3
9/1/54,59.2,86,34.9
10/1/54,58.8,85.5,34.8
11/1/54,58.6,85.2,34.6
12/1/54,58.1,84.8,34.1
1/1/55,58.6,85,34.7
2/1/55,58.4,84.8,34.5
3/1/55,58.5,85,34.5
4/1/55,59,85.2,35.3
5/1/55,58.8,85.1,35
6/1/55,58.8,84.8,35.2
7/1/55,59.3,85.3,35.8
8/1/55,59.7,85.4,36.4
9/1/55,59.7,85.6,36.2
10/1/55,59.8,85.7,36.4
11/1/55,59.9,85.8,36.5
12/1/55,60.2,85.9,37
1/1/56,60.2,86.1,36.7
2/1/56,59.9,85.9,36.3
3/1/56,59.8,85.8,36.4
4/1/56,59.9,85.6,36.6
5/1/56,60.2,85.8,37.1
6/1/56,60.1,85.7,37
7/1/56,60.1,85.5,37.2
8/1/56,60,85.4,37
9/1/56,60,85.2,37.1
10/1/56,59.8,85,36.9
11/1/56,59.8,85.2,36.9
12/1/56,59.8,85,36.9
1/1/57,59.5,84.8,36.6
2/1/57,59.9,85,37.1
3/1/57,59.8,85.2,36.9
4/1/57,59.5,85,36.5
5/1/57,59.5,84.9,36.6
6/1/57,59.8,85.2,36.8
7/1/57,60,85.1,37.2
8/1/57,59.3,84.4,36.6
9/1/57,59.6,84.6,36.9
10/1/57,59.5,84.4,37
11/1/57,59.5,84.4,36.9
12/1/57,59.6,84.5,37.1
1/1/58,59.3,84.1,36.8
2/1/58,59.3,84,37
3/1/58,59.3,84,37
4/1/58,59.6,84.3,37.3
5/1/58,59.8,84.6,37.4
6/1/58,59.5,84.3,37.1
7/1/58,59.6,84.6,37
8/1/58,59.8,84.6,37.3
9/1/58,59.7,84.7,37
10/1/58,59.6,84.6,37
11/1/58,59.2,84,36.8
12/1/58,59.2,83.8,36.9
1/1/59,59.3,83.8,37.1
2/1/59,59,83.5,36.8
3/1/59,59.3,83.8,37.1
4/1/59,59.4,83.9,37.3
5/1/59,59.2,83.6,37.1
6/1/59,59.2,83.5,37.3
7/1/59,59.4,83.9,37.1
8/1/59,59.2,83.7,37.1
9/1/59,59.3,83.9,37
10/1/59,59.4,83.8,37.4
11/1/59,59.1,83.5,37
12/1/59,59.5,83.9,37.3
1/1/60,59.1,83.6,37
2/1/60,59.1,83.4,37.1
3/1/60,58.5,82.8,36.6
4/1/60,59.5,83.6,37.8
5/1/60,59.5,83.4,37.9
6/1/60,59.7,83.3,38.4
7/1/60,59.5,83.2,38.1
8/1/60,59.5,83.3,37.9
9/1/60,59.7,83.5,38.2
10/1/60,59.4,83.4,37.7
11/1/60,59.8,83.7,38.2
12/1/60,59.7,83.4,38.2
1/1/61,59.6,83.4,38.2
2/1/61,59.6,82.9,38.5
3/1/61,59.7,83.1,38.7
4/1/61,59.3,82.8,38.1
5/1/61,59.4,83,38.1
6/1/61,59.7,83.1,38.6
7/1/61,59.3,82.8,38.1
8/1/61,59.3,82.9,38
9/1/61,59,82.6,37.7
10/1/61,59.1,82.6,38
11/1/61,59.1,82.7,37.8
12/1/61,58.8,82.5,37.5
1/1/62,58.8,82.2,37.9
2/1/62,59,82.5,38
3/1/62,58.9,82.5,37.8
4/1/62,58.7,82,37.8
5/1/62,58.9,82.4,37.8
6/1/62,58.8,82.1,37.8
7/1/62,58.5,81.7,37.7
8/1/62,59,82.1,38.3
9/1/62,59,82,38.3
10/1/62,58.7,81.7,37.9
11/1/62,58.5,81.6,37.8
